Wavelength,Intensity
4.000000000000000000e+02,1.932829685251386564e+01
4.020100502512563025e+02,1.937361487803691062e+01
4.040201005025125482e+02,1.945171881511957679e+01
4.060301507537688508e+02,1.956264731822817637e+01
4.080402010050250965e+02,1.970638553500038981e+01
4.100502512562813990e+02,1.988291500138280199e+01
4.120603015075377016e+02,2.009238862452780339e+01
4.140703517587939473e+02,2.033479196964962910e+01
4.160804020100502498e+02,2.061016507399975950e+01
4.180904522613065524e+02,2.091844627504668708e+01
4.201005025125627981e+02,2.125967535755456339e+01
4.221105527638191006e+02,2.163388635492925971e+01
4.241206030150754032e+02,2.204107547260237965e+01
4.261306532663316489e+02,2.248130169638257669e+01
4.281407035175879514e+02,2.295443395787787466e+01
4.301507537688441971e+02,2.346047704061126282e+01
4.321608040201004997e+02,2.399938729968786788e+01
4.341708542713568022e+02,2.457102441419023364e+01
4.361809045226130479e+02,2.517530153350655908e+01
4.381909547738693504e+02,2.581204166137587919e+01
4.402010050251255961e+02,2.648119553065406251e+01
4.422110552763818987e+02,2.718236639954952238e+01
4.442211055276382012e+02,2.791533187493275037e+01
4.462311557788944469e+02,2.867972687428285283e+01
4.482412060301507495e+02,2.947523740137183523e+01
4.502512562814070520e+02,3.030141702765627798e+01
4.522613065326632977e+02,3.115785690066297065e+01
4.542713567839196003e+02,3.204402709952486816e+01
4.562814070351759028e+02,3.295924428784252314e+01
4.582914572864321485e+02,3.390292592257555526e+01
4.603015075376884511e+02,3.487432475461550041e+01
4.623115577889446968e+02,3.587267820967951337e+01
4.643216080402009993e+02,3.689713121944747343e+01
4.663316582914573019e+02,3.794673221435448340e+01
4.683417085427135476e+02,3.902055591197367335e+01
4.703517587939698501e+02,4.011751670822524574e+01
4.723618090452260958e+02,4.123646970182464599e+01
4.743718592964823983e+02,4.237625696508161610e+01
4.763819095477387009e+02,4.353559967221696070e+01
4.783919597989950034e+02,4.471317423548410375e+01
4.804020100502512491e+02,4.590764512781881024e+01
4.824120603015074948e+02,4.711753606685799411e+01
4.844221105527637974e+02,4.834131713162125266e+01
4.864321608040200999e+02,4.957745363830893837e+01
4.884422110552764025e+02,5.082428089433813767e+01
4.904522613065326482e+02,5.208014984779969581e+01
4.924623115577889507e+02,5.334336527216649415e+01
4.944723618090451964e+02,5.461221794472707813e+01
4.964824120603014990e+02,5.588484838523559972e+01
4.984924623115578015e+02,5.715949406398132737e+01
5.005025125628140472e+02,5.843424665610736213e+01
5.025125628140703498e+02,5.970728697775903981e+01
5.045226130653265955e+02,6.097667901283804071e+01
5.065326633165828980e+02,6.224055008942981715e+01
5.085427135678392006e+02,6.349697640896971507e+01
5.105527638190955031e+02,6.474412244570287100e+01
5.125628140703518056e+02,6.598007550891512096e+01
5.145728643216079945e+02,6.720287981837869040e+01
5.165829145728642970e+02,6.841073281262630701e+01
5.185929648241205996e+02,6.960176818190801384e+01
5.206030150753769021e+02,7.077413451915612086e+01
5.226130653266332047e+02,7.192606177654987221e+01
5.246231155778893935e+02,7.305579854533303319e+01
5.266331658291456961e+02,7.416162615584940454e+01
5.286432160804019986e+02,7.524189169159235746e+01
5.306532663316583012e+02,7.629496391446132009e+01
5.326633165829146037e+02,7.731930721594847000e+01
5.346733668341707926e+02,7.831340404507825781e+01
5.366834170854270951e+02,7.927582627906947721e+01
5.386934673366833977e+02,8.020520477146945382e+01
5.407035175879397002e+02,8.110023205001026270e+01
5.427135678391960028e+02,8.195965438696129013e+01
5.447236180904521916e+02,8.278232792197283629e+01
5.467336683417084942e+02,8.356717081982685613e+01
5.487437185929647967e+02,8.431315126899222889e+01
5.507537688442210992e+02,8.501932386247308671e+01
5.527638190954774018e+02,8.568483771963312279e+01
5.547738693467335906e+02,8.630890884708389876e+01
5.567839195979900069e+02,8.689080956390915844e+01
5.587939698492461957e+02,8.742991599017736348e+01
5.608040201005024983e+02,8.792565593024713166e+01
5.628140703517588008e+02,8.837754203971515210e+01
5.648241206030149897e+02,8.878518941829574374e+01
5.668341708542714059e+02,8.914824194065850804e+01
5.688442211055275948e+02,8.946642240019883729e+01
5.708542713567838973e+02,8.973955279277657837e+01
5.728643216080401999e+02,8.996747965435419303e+01
5.748743718592965024e+02,9.015014274137145378e+01
5.768844221105528050e+02,9.028754388483976356e+01
5.788944723618089938e+02,9.037975333042926707e+01
5.809045226130652964e+02,9.042687241304939505e+01
5.829145728643215989e+02,9.042908170782480681e+01
5.849246231155779014e+02,9.038664140724348783e+01
5.869346733668342040e+02,9.029983494794426235e+01
5.889447236180903928e+02,9.016901356433753278e+01
5.909547738693466954e+02,8.999457085266523393e+01
5.929648241206029979e+02,8.977695423672692243e+01
5.949748743718593005e+02,8.951666847023145124e+01
5.969849246231156030e+02,8.921425984137641763e+01
5.989949748743717919e+02,8.887033325725286659e+01
6.010050251256280944e+02,8.848552229681615700e+01
6.030150753768843970e+02,8.806052118877677515e+01
6.050251256281406995e+02,8.759606075747306875e+01
6.070351758793970021e+02,8.709291423778964258e+01
6.090452261306531909e+02,8.655189316682887579e+01
6.110552763819094935e+02,8.597387181655088284e+01
6.130653266331657960e+02,8.535976766814214045e+01
6.150753768844220986e+02,8.471049781875588280e+01
6.170854271356784011e+02,8.402707801223543527e+01
6.190954773869345900e+02,8.331052842294069194e+01
6.211055276381910062e+02,8.256192476579798267e+01
6.231155778894471950e+02,8.178236477861416631e+01
6.251256281407034976e+02,8.097300344050771059e+01
6.271356783919598001e+02,8.013504580267490951e+01
6.291457286432159890e+02,7.926968634794445734e+01
6.311557788944724052e+02,7.837821952799767189e+01
6.331658291457285941e+02,7.746192900557454664e+01
6.351758793969848966e+02,7.652215342357632721e+01
6.371859296482411992e+02,7.556025076103850324e+01
6.391959798994975017e+02,7.457762655936701890e+01
6.412060301507538043e+02,7.357571195258009311e+01
6.432160804020099931e+02,7.255593757232804819e+01
6.452261306532662957e+02,7.151980631858558013e+01
6.472361809045225982e+02,7.046879389276280392e+01
6.492462311557789008e+02,6.940444425900719239e+01
6.512562814070352033e+02,6.832828660547104960e+01
6.532663316582913922e+02,6.724187141663465184e+01
6.552763819095476947e+02,6.614673227042854364e+01
6.572864321608039972e+02,6.504446021369714970e+01
6.592964824120602998e+02,6.393659531732485846e+01
6.613065326633166023e+02,6.282469514069308048e+01
6.633165829145727912e+02,6.171036065007764648e+01
6.653266331658290937e+02,6.059509135790169410e+01
6.673366834170853963e+02,5.948042308863129790e+01
6.693467336683416988e+02,5.836785816691014617e+01
6.713567839195980014e+02,5.725893450362087123e+01
6.733668341708541902e+02,5.615508395665946040e+01
6.753768844221106065e+02,5.505772600865937250e+01
6.773869346733667953e+02,5.396825972443215846e+01
6.793969849246230979e+02,5.288806916434204197e+01
6.814070351758794004e+02,5.181844186373385952e+01
6.834170854271355893e+02,5.076062491022881318e+01
6.854271356783920055e+02,4.971586643363548319e+01
6.874371859296481944e+02,4.868533190217677742e+01
6.894472361809044969e+02,4.767010288107258731e+01
6.914572864321607994e+02,4.667122748990798442e+01
6.934673366834169883e+02,4.568972510639239459e+01
6.954773869346734045e+02,4.472647464941810824e+01
6.974874371859295934e+02,4.378232257488760126e+01
6.994974874371858959e+02,4.285812573746633092e+01
7.015075376884421985e+02,4.195455412295928710e+01
7.035175879396983873e+02,4.107225204250320161e+01
7.055276381909548036e+02,4.021188843083712072e+01
7.075376884422109924e+02,3.937391412209717600e+01
7.095477386934672950e+02,3.855883924201904733e+01
7.115577889447235975e+02,3.776698214535694120e+01
7.135678391959799001e+02,3.699869939956383291e+01
7.155778894472362026e+02,3.625423254552754315e+01
7.175879396984923915e+02,3.553378151330543488e+01
7.195979899497486940e+02,3.483739155670544818e+01
7.216080402010049966e+02,3.416517799102354047e+01
7.236180904522612991e+02,3.351718340512937999e+01
7.256281407035176017e+02,3.289332891287079264e+01
7.276381909547737905e+02,3.229351197272765006e+01
7.296482412060300931e+02,3.171757334766659397e+01
7.316582914572863956e+02,3.116530425928509374e+01
7.336683417085426981e+02,3.063643946550680042e+01
7.356783919597990007e+02,3.013076046149749487e+01
7.376884422110551895e+02,2.964794003392437816e+01
7.396984924623116058e+02,2.918758500493489905e+01
7.417085427135677946e+02,2.874937892332562939e+01
7.437185929648240972e+02,2.833284573791530292e+01
7.457286432160803997e+02,2.793753966866971794e+01
7.477386934673365886e+02,2.756308390106291029e+01
7.497487437185930048e+02,2.720895254216054227e+01
7.517587939698491937e+02,2.687474622967001636e+01
7.537688442211054962e+02,2.655986863867502734e+01
7.557788944723617988e+02,2.626380244921470819e+01
7.577889447236179876e+02,2.598622227713511990e+01
7.597989949748744039e+02,2.572644885916212942e+01
7.618090452261305927e+02,2.548398836810473611e+01
7.638190954773868953e+02,2.525843841086178898e+01
7.658291457286431978e+02,2.504931682120458092e+01
7.678391959798993867e+02,2.485611921223656751e+01
7.698492462311558029e+02,2.467839446615777987e+01
7.718592964824119917e+02,2.451563808461984451e+01
