Wavelength,Intensity
4.000000000000000000e+02,1.146467137546363446e+01
4.020000000000000000e+02,1.126640248001422151e+01
4.040000000000000000e+02,1.146399556054342028e+01
4.060000000000000000e+02,1.146720467673974397e+01
4.080000000000000000e+02,1.153317648475528223e+01
4.100000000000000000e+02,1.157756428925980430e+01
4.120000000000000000e+02,1.162320780310257362e+01
4.140000000000000000e+02,1.154942808625629347e+01
4.160000000000000000e+02,1.157160984412786142e+01
4.180000000000000000e+02,1.175071155378071808e+01
4.200000000000000000e+02,1.248730289483663647e+01
4.220000000000000000e+02,1.249066465667652359e+01
4.240000000000000000e+02,1.186264711048481502e+01
4.260000000000000000e+02,1.225407774680590123e+01
4.280000000000000000e+02,1.215329438276780749e+01
4.300000000000000000e+02,1.280150955882573172e+01
4.320000000000000000e+02,1.369022253729899674e+01
4.340000000000000000e+02,1.319320378803538674e+01
4.360000000000000000e+02,1.315507924238993098e+01
4.380000000000000000e+02,1.275208562010691260e+01
4.400000000000000000e+02,1.390513915165413295e+01
4.420000000000000000e+02,1.322360435610190521e+01
4.440000000000000000e+02,1.388761990582606032e+01
4.460000000000000000e+02,1.380058942229515573e+01
4.480000000000000000e+02,1.404849608928963711e+01
4.500000000000000000e+02,1.494589661767837541e+01
4.520000000000000000e+02,1.500993167899270375e+01
4.540000000000000000e+02,1.493199719020086746e+01
4.560000000000000000e+02,1.620342111292342935e+01
4.580000000000000000e+02,1.555429211147205848e+01
4.600000000000000000e+02,1.624197504242452794e+01
4.620000000000000000e+02,1.771639061479690724e+01
4.640000000000000000e+02,1.833471901523621739e+01
4.660000000000000000e+02,1.874420498141015656e+01
4.680000000000000000e+02,2.183903926470823720e+01
4.700000000000000000e+02,2.068743853726797965e+01
4.720000000000000000e+02,2.283616762448893667e+01
4.740000000000000000e+02,2.608616756911036916e+01
4.760000000000000000e+02,2.771951699862751184e+01
4.780000000000000000e+02,3.195509476535222859e+01
4.800000000000000000e+02,3.788962275015079939e+01
4.820000000000000000e+02,4.390986295440369958e+01
4.840000000000000000e+02,5.191981461756476079e+01
4.860000000000000000e+02,6.588583601235804110e+01
4.880000000000000000e+02,7.822023759679713351e+01
4.900000000000000000e+02,9.633284307239898681e+01
4.920000000000000000e+02,1.105329409675348700e+02
