Wavelength,Intensity
4.000000000000000000e+02,1.968860378229429386e+01
4.020100502512563025e+02,1.973612180044170472e+01
4.040201005025125482e+02,1.981861131281431909e+01
4.060301507537688508e+02,1.993607381774392451e+01
4.080402010050250965e+02,2.008845262438267554e+01
4.100502512562813990e+02,2.027567057822440333e+01
4.120603015075377016e+02,2.049778135747180485e+01
4.140703517587939473e+02,2.075468049542529769e+01
4.160804020100502498e+02,2.104629348414232126e+01
4.180904522613065524e+02,2.137244371593933323e+01
4.201005025125627981e+02,2.173302123336210201e+01
4.221105527638191006e+02,2.212790132014000122e+01
4.241206030150754032e+02,2.255690217099819250e+01
4.261306532663316489e+02,2.301988403739918709e+01
4.281407035175879514e+02,2.351652228868944050e+01
4.301507537688441971e+02,2.404659530953092883e+01
4.321608040201004997e+02,2.460981871514130859e+01
4.341708542713568022e+02,2.520580758809050792e+01
4.361809045226130479e+02,2.583420867858125192e+01
4.381909547738693504e+02,2.649456930504020491e+01
4.402010050251255961e+02,2.718653435735327761e+01
4.422110552763818987e+02,2.790942689247731323e+01
4.442211055276382012e+02,2.866270635736596972e+01
4.462311557788944469e+02,2.944569525115908704e+01
4.482412060301507495e+02,3.025774045752433850e+01
4.502512562814070520e+02,3.109806824496051192e+01
4.522613065326632977e+02,3.196591627645265987e+01
4.542713567839196003e+02,3.286040892681383951e+01
4.562814070351759028e+02,3.378052650208743302e+01
4.582914572864321485e+02,3.472532981629323956e+01
4.603015075376884511e+02,3.569372374981234941e+01
4.623115577889446968e+02,3.668460231434957564e+01
4.643216080402009993e+02,3.769676799645743870e+01
4.663316582914573019e+02,3.872894580446625667e+01
4.683417085427135476e+02,3.977987546031339861e+01
4.703517587939698501e+02,4.084816407546742312e+01
4.723618090452260958e+02,4.193236699469281348e+01
4.743718592964823983e+02,4.303104611735714258e+01
4.763819095477387009e+02,4.414265180408884248e+01
4.783919597989950034e+02,4.526561846962405156e+01
4.804020100502512491e+02,4.639836851901036852e+01
4.824120603015074948e+02,4.753924515474494683e+01
4.844221105527637974e+02,4.868653438734420291e+01
4.864321608040200999e+02,4.983855224887484781e+01
4.884422110552764025e+02,5.099352507741287610e+01
4.904522613065326482e+02,5.214971627421872569e+01
4.924623115577889507e+02,5.330536761800819079e+01
4.944723618090451964e+02,5.445873791736270420e+01
4.964824120603014990e+02,5.560798584203998018e+01
4.984924623115578015e+02,5.675138161866491515e+01
5.005025125628140472e+02,5.788709850129203005e+01
5.025125628140703498e+02,5.901343799496296327e+01
5.045226130653265955e+02,6.012861331249867902e+01
5.065326633165828980e+02,6.123093530784955618e+01
5.085427135678392006e+02,6.231870532391299378e+01
5.105527638190955031e+02,6.339033039954895798e+01
5.125628140703518056e+02,6.444419871392068444e+01
5.145728643216079945e+02,6.547867689351934928e+01
5.165829145728642970e+02,6.649230057978303421e+01
5.185929648241205996e+02,6.748358553578107433e+01
5.206030150753769021e+02,6.845109327021468459e+01
5.226130653266332047e+02,6.939348344984365724e+01
5.246231155778893935e+02,7.030945953506942203e+01
5.266331658291456961e+02,7.119778904238762607e+01
5.286432160804019986e+02,7.205731536586853281e+01
5.306532663316583012e+02,7.288692650188131950e+01
5.326633165829146037e+02,7.368562349882279250e+01
5.346733668341707926e+02,7.445243269178811829e+01
5.366834170854270951e+02,7.518648048773282255e+01
5.386934673366833977e+02,7.588696008452049568e+01
5.407035175879397002e+02,7.655313254566164005e+01
5.427135678391960028e+02,7.718431195359477215e+01
5.447236180904521916e+02,7.777992344012605486e+01
5.467336683417084942e+02,7.833944344960633543e+01
5.487437185929647967e+02,7.886240177038664001e+01
5.507537688442210992e+02,7.934840108652342394e+01
5.527638190954774018e+02,7.979712669027036043e+01
5.547738693467335906e+02,8.020831499332103931e+01
5.567839195979900069e+02,8.058175163261526563e+01
5.587939698492461957e+02,8.091730070731405533e+01
5.608040201005024983e+02,8.121486340216289079e+01
5.628140703517588008e+02,8.147440214945531523e+01
5.648241206030149897e+02,8.169595645076857693e+01
5.668341708542714059e+02,8.187957647747278145e+01
5.688442211055275948e+02,8.202536408397148193e+01
5.708542713567838973e+02,8.213349316018435786e+01
5.728643216080401999e+02,8.220413750796664942e+01
5.748743718592965024e+02,8.223753336260763547e+01
5.768844221105528050e+02,8.223395563205497183e+01
5.788944723618089938e+02,8.219371405890557014e+01
5.809045226130652964e+02,8.211712549288930063e+01
5.829145728643215989e+02,8.200455611753164931e+01
5.849246231155779014e+02,8.185641954513310736e+01
5.869346733668342040e+02,8.167312887184650094e+01
5.889447236180903928e+02,8.145513501559548786e+01
5.909547738693466954e+02,8.120290734514425424e+01
5.929648241206029979e+02,8.091693945070237248e+01
5.949748743718593005e+02,8.059775708286409213e+01
5.969849246231156030e+02,8.024590167694938714e+01
5.989949748743717919e+02,7.986194730701127753e+01
6.010050251256280944e+02,7.944647796102114512e+01
6.030150753768843970e+02,7.900011099842407702e+01
6.050251256281406995e+02,7.852348303680888364e+01
6.070351758793970021e+02,7.801724945743926298e+01
6.090452261306531909e+02,7.748208594195351395e+01
6.110552763819094935e+02,7.691871140530787443e+01
6.130653266331657960e+02,7.632786912154519143e+01
6.150753768844220986e+02,7.571029215285430780e+01
6.170854271356784011e+02,7.506678803742312311e+01
6.190954773869345900e+02,7.439816006568992179e+01
6.211055276381910062e+02,7.370525250852918475e+01
6.231155778894471950e+02,7.298892026423223456e+01
6.251256281407034976e+02,7.225006434724915039e+01
6.271356783919598001e+02,7.148962236343876953e+01
6.291457286432159890e+02,7.070851961324267165e+01
6.311557788944724052e+02,6.990776395396740384e+01
6.331658291457285941e+02,6.908835143583615945e+01
6.351758793969848966e+02,6.825132362663069330e+01
6.371859296482411992e+02,6.739773750040490086e+01
6.391959798994975017e+02,6.652869475297680424e+01
6.412060301507538043e+02,6.564531299939476128e+01
6.432160804020099931e+02,6.474871263225220730e+01
6.452261306532662957e+02,6.384008019787697208e+01
6.472361809045225982e+02,6.292057685306801318e+01
6.492462311557789008e+02,6.199142534993108455e+01
6.512562814070352033e+02,6.105383917961133022e+01
6.532663316582913922e+02,6.010905198092503809e+01
6.552763819095476947e+02,5.915828584607212548e+01
6.572864321608039972e+02,5.820281405905282668e+01
6.592964824120602998e+02,5.724387281364788294e+01
6.613065326633166023e+02,5.628271275896656078e+01
6.633165829145727912e+02,5.532062706660021689e+01
6.653266331658290937e+02,5.435882411364003985e+01
6.673366834170853963e+02,5.339855060554745592e+01
6.693467336683416988e+02,5.244102185674275063e+01
6.713567839195980014e+02,5.148749489663723722e+01
6.733668341708541902e+02,5.053913193844012142e+01
6.753768844221106065e+02,4.959709281935032976e+01
6.773869346733667953e+02,4.866252131362861633e+01
6.793969849246230979e+02,4.773655208141046558e+01
6.814070351758794004e+02,4.682023450144370713e+01
6.834170854271355893e+02,4.591459806765996632e+01
6.854271356783920055e+02,4.502066683687079518e+01
6.874371859296481944e+02,4.413939585466857096e+01
6.894472361809044969e+02,4.327167786905438618e+01
6.914572864321607994e+02,4.241837223517657662e+01
6.934673366834169883e+02,4.158031854832094609e+01
6.954773869346734045e+02,4.075824023645071037e+01
6.974874371859295934e+02,3.995283531754422057e+01
6.994974874371858959e+02,3.916481008960316501e+01
7.015075376884421985e+02,3.839471081433130450e+01
7.035175879396983873e+02,3.764308027859264882e+01
7.055276381909548036e+02,3.691046850405655277e+01
7.075376884422109924e+02,3.619724633079363230e+01
7.095477386934672950e+02,3.550383310715997709e+01
7.115577889447235975e+02,3.483047766781537291e+01
7.135678391959799001e+02,3.417748280998500832e+01
7.155778894472362026e+02,3.354503368882126324e+01
7.175879396984923915e+02,3.293328359778701042e+01
7.195979899497486940e+02,3.234225696894618096e+01
7.216080402010049966e+02,3.177203938639735981e+01
7.236180904522612991e+02,3.122265253671438501e+01
7.256281407035176017e+02,3.069402355324731957e+01
7.276381909547737905e+02,3.018605662815366131e+01
7.296482412060300931e+02,2.969860685179682491e+01
7.316582914572863956e+02,2.923147400468216262e+01
7.336683417085426981e+02,2.878443747603053637e+01
7.356783919597990007e+02,2.835728933857610912e+01
7.376884422110551895e+02,2.794974528782745438e+01
7.396984924623116058e+02,2.756145268029607109e+01
7.417085427135677946e+02,2.719214001386540502e+01
7.437185929648240972e+02,2.684138882393970249e+01
7.457286432160803997e+02,2.650880884503643387e+01
7.477386934673365886e+02,2.619406765608006538e+01
7.497487437185930048e+02,2.589671407252798829e+01
7.517587939698491937e+02,2.561639526798301603e+01
7.537688442211054962e+02,2.535259626932149146e+01
7.557788944723617988e+02,2.510486410708394800e+01
7.577889447236179876e+02,2.487291603171710719e+01
7.597989949748744039e+02,2.465616293006111448e+01
7.618090452261305927e+02,2.445417676636082760e+01
