Wavelength,Intensity
4.000000000000000000e+02,1.302151681953551865e+01
4.020000000000000000e+02,1.345847706556126866e+01
4.040000000000000000e+02,1.350115083035612074e+01
4.060000000000000000e+02,1.339657903726080690e+01
4.080000000000000000e+02,1.385461581605785497e+01
4.100000000000000000e+02,1.406857577671292958e+01
4.120000000000000000e+02,1.391161303308498987e+01
4.140000000000000000e+02,1.351948090923959001e+01
4.160000000000000000e+02,1.427896246463036789e+01
4.180000000000000000e+02,1.382089614108783948e+01
4.200000000000000000e+02,1.410357785743514114e+01
4.220000000000000000e+02,1.431328254669313793e+01
4.240000000000000000e+02,1.392872304563077535e+01
4.260000000000000000e+02,1.517963439573766848e+01
4.280000000000000000e+02,1.476278296610138341e+01
4.300000000000000000e+02,1.462169836499825415e+01
4.320000000000000000e+02,1.549148770808391617e+01
4.340000000000000000e+02,1.494738039202461977e+01
4.360000000000000000e+02,1.529665454666000990e+01
4.380000000000000000e+02,1.516758766783613410e+01
4.400000000000000000e+02,1.582267346279749098e+01
4.420000000000000000e+02,1.713197204645261706e+01
4.440000000000000000e+02,1.611694541320203555e+01
4.460000000000000000e+02,1.638035712756509099e+01
4.480000000000000000e+02,1.684510617047739700e+01
4.500000000000000000e+02,1.684293815246638815e+01
4.520000000000000000e+02,1.800700351959916645e+01
4.540000000000000000e+02,1.887304391475360887e+01
4.560000000000000000e+02,1.810697219803177305e+01
4.580000000000000000e+02,1.861407742273665988e+01
4.600000000000000000e+02,1.949114870671026267e+01
4.620000000000000000e+02,1.902058258319680206e+01
4.640000000000000000e+02,2.013555425919193453e+01
4.660000000000000000e+02,2.027935771375109653e+01
4.680000000000000000e+02,2.186839454220479695e+01
4.700000000000000000e+02,2.158092707966632773e+01
4.720000000000000000e+02,2.338037521626591442e+01
4.740000000000000000e+02,2.391658511322620484e+01
4.760000000000000000e+02,2.479333223233895467e+01
4.780000000000000000e+02,2.555817849905064421e+01
4.800000000000000000e+02,2.767661942530189378e+01
4.820000000000000000e+02,2.708599546411530667e+01
4.840000000000000000e+02,2.935762122139747632e+01
4.860000000000000000e+02,3.100338912775682587e+01
4.880000000000000000e+02,3.201371872714507560e+01
4.900000000000000000e+02,3.325245337529164402e+01
4.920000000000000000e+02,3.437922708541790939e+01
4.940000000000000000e+02,3.684631900459417864e+01
4.960000000000000000e+02,3.839616040942656383e+01
4.980000000000000000e+02,4.006431384305155063e+01
5.000000000000000000e+02,4.343312275607344475e+01
5.020000000000000000e+02,4.616939353066151597e+01
5.040000000000000000e+02,4.753788110066407313e+01
5.060000000000000000e+02,4.999304988175177300e+01
5.080000000000000000e+02,5.188619324245496500e+01
5.100000000000000000e+02,5.713526191172149993e+01
5.120000000000000000e+02,5.811949252592359016e+01
5.140000000000000000e+02,6.194312053406027729e+01
5.160000000000000000e+02,6.744657228927272286e+01
5.180000000000000000e+02,6.658003797231855003e+01
5.200000000000000000e+02,7.209902934150991882e+01
5.220000000000000000e+02,7.326203093278294887e+01
5.240000000000000000e+02,7.790566768900013983e+01
5.260000000000000000e+02,8.081988175075984771e+01
5.280000000000000000e+02,8.466072830919044634e+01
5.300000000000000000e+02,8.905920622946338483e+01
5.320000000000000000e+02,9.079370940834230908e+01
5.340000000000000000e+02,9.407707315107560930e+01
5.360000000000000000e+02,9.888143989807313972e+01
5.380000000000000000e+02,9.855972876035187369e+01
5.400000000000000000e+02,1.054848846156600786e+02
5.420000000000000000e+02,1.056841007797989391e+02
5.440000000000000000e+02,1.084804349627117972e+02
5.460000000000000000e+02,1.106135704967390154e+02
5.480000000000000000e+02,1.092296817913488809e+02
5.500000000000000000e+02,1.135985783823751376e+02
5.520000000000000000e+02,1.146018806606327729e+02
5.540000000000000000e+02,1.146884417895044379e+02
5.560000000000000000e+02,1.160520368076040114e+02
5.580000000000000000e+02,1.157932610799281861e+02
5.600000000000000000e+02,1.167077099173031911e+02
5.620000000000000000e+02,1.164160084568606521e+02
5.640000000000000000e+02,1.162068384308550293e+02
5.660000000000000000e+02,1.170112316727887674e+02
5.680000000000000000e+02,1.176331900987044321e+02
5.700000000000000000e+02,1.175718730173436910e+02
5.720000000000000000e+02,1.140519258368726412e+02
5.740000000000000000e+02,1.174898900767538095e+02
5.760000000000000000e+02,1.152349008415459366e+02
5.780000000000000000e+02,1.106752520422407429e+02
5.800000000000000000e+02,1.086885724319888595e+02
5.820000000000000000e+02,1.091636322881221446e+02
5.840000000000000000e+02,1.071143253908033586e+02
5.860000000000000000e+02,1.036866162916449525e+02
5.880000000000000000e+02,1.025877940188692889e+02
5.900000000000000000e+02,1.038040794783228478e+02
5.920000000000000000e+02,1.002859595654326625e+02
5.940000000000000000e+02,1.003331031665224344e+02
5.960000000000000000e+02,9.889167447481403883e+01
5.980000000000000000e+02,1.027703123106193459e+02
6.000000000000000000e+02,9.574906147836020409e+01
6.020000000000000000e+02,1.021430770907197427e+02
6.040000000000000000e+02,9.721046579527106246e+01
6.060000000000000000e+02,9.739802315942708333e+01
6.080000000000000000e+02,9.806200978566718618e+01
6.100000000000000000e+02,9.919176379324468940e+01
6.120000000000000000e+02,9.815965621915795225e+01
