Wavelength,Intensity
4.000000000000000000e+02,2.004891071207471498e+01
4.020100502512563025e+02,2.009862872284649882e+01
4.040201005025125482e+02,2.018550381050906140e+01
4.060301507537688508e+02,2.030950031725967264e+01
4.080402010050250965e+02,2.047051971376495771e+01
4.100502512562813990e+02,2.066842615506600467e+01
4.120603015075377016e+02,2.090317409041580277e+01
4.140703517587939473e+02,2.117456902120096629e+01
4.160804020100502498e+02,2.148242189428488302e+01
4.180904522613065524e+02,2.182644115683198294e+01
4.201005025125627981e+02,2.220636710916964063e+01
4.221105527638191006e+02,2.262191628535074273e+01
4.241206030150754032e+02,2.307272886939401246e+01
4.261306532663316489e+02,2.355846637841580105e+01
4.281407035175879514e+02,2.407861061950100634e+01
4.301507537688441971e+02,2.463271357845059129e+01
4.321608040201004997e+02,2.522025013059475640e+01
4.341708542713568022e+02,2.584059076199078220e+01
4.361809045226130479e+02,2.649311582365594475e+01
4.381909547738693504e+02,2.717709694870453063e+01
4.402010050251255961e+02,2.789187318405248561e+01
4.422110552763818987e+02,2.863648738540510408e+01
4.442211055276382012e+02,2.941008083979919263e+01
4.462311557788944469e+02,3.021166362803531769e+01
4.482412060301507495e+02,3.104024351367684176e+01
4.502512562814070520e+02,3.189471946226474586e+01
4.522613065326632977e+02,3.277397565224234199e+01
4.542713567839196003e+02,3.367679075410281087e+01
4.562814070351759028e+02,3.460180871633234290e+01
4.582914572864321485e+02,3.554773371001093096e+01
4.603015075376884511e+02,3.651312274500919841e+01
4.623115577889446968e+02,3.749652641901963079e+01
4.643216080402009993e+02,3.849640477346741108e+01
4.663316582914573019e+02,3.951115939457802995e+01
4.683417085427135476e+02,4.053919500865312386e+01
4.703517587939698501e+02,4.157881144270960760e+01
4.723618090452260958e+02,4.262826428756099517e+01
4.743718592964823983e+02,4.368583526963266905e+01
4.763819095477387009e+02,4.474970393596072427e+01
4.783919597989950034e+02,4.581806270376399937e+01
4.804020100502512491e+02,4.688909191020192679e+01
4.824120603015074948e+02,4.796095424263189955e+01
4.844221105527637974e+02,4.903175164306716027e+01
4.864321608040200999e+02,5.009965085944076435e+01
4.884422110552764025e+02,5.116276926048760743e+01
4.904522613065326482e+02,5.221928270063776267e+01
4.924623115577889507e+02,5.326736996384988743e+01
4.944723618090451964e+02,5.430525788999833026e+01
4.964824120603014990e+02,5.533112329884436065e+01
4.984924623115578015e+02,5.634326917334850293e+01
5.005025125628140472e+02,5.733995034647669797e+01
5.025125628140703498e+02,5.831958901216688673e+01
5.045226130653265955e+02,5.928054761215931734e+01
5.065326633165828980e+02,6.022132052626930943e+01
5.085427135678392006e+02,6.114043423885627249e+01
5.105527638190955031e+02,6.203653835339506628e+01
5.125628140703518056e+02,6.290832191892625502e+01
5.145728643216079945e+02,6.375447396866001526e+01
5.165829145728642970e+02,6.457386834693976141e+01
5.185929648241205996e+02,6.536540288965414902e+01
5.206030150753769021e+02,6.612805202127323412e+01
5.226130653266332047e+02,6.686090512313744227e+01
5.246231155778893935e+02,6.756312052480581087e+01
5.266331658291456961e+02,6.823395192892583339e+01
5.286432160804019986e+02,6.887273904014470816e+01
5.306532663316583012e+02,6.947888908930130469e+01
5.326633165829146037e+02,7.005193978169714342e+01
5.346733668341707926e+02,7.059146133849796456e+01
5.366834170854270951e+02,7.109713469639616790e+01
5.386934673366833977e+02,7.156871539757156597e+01
