Wavelength,Intensity
4.000000000000000000e+02,1.944026893431327352e+01
4.020100502512563025e+02,1.948637433798335650e+01
4.040201005025125482e+02,1.956613290645751846e+01
4.060301507537688508e+02,1.967952218918794216e+01
4.080402010050250965e+02,1.982650081707630108e+01
4.100502512562813990e+02,2.000709215303077215e+01
4.120603015075377016e+02,2.022123261114272452e+01
4.140703517587939473e+02,2.046893378264749686e+01
4.160804020100502498e+02,2.075018736235497485e+01
4.180904522613065524e+02,2.106482767524871846e+01
4.201005025125627981e+02,2.141289349653197505e+01
4.221105527638191006e+02,2.179425348195811907e+01
4.241206030150754032e+02,2.220887046008894217e+01
4.261306532663316489e+02,2.265661337714854540e+01
4.281407035175879514e+02,2.313729199217905830e+01
4.301507537688441971e+02,2.365075427791128959e+01
4.321608040201004997e+02,2.419683507755502561e+01
4.341708542713568022e+02,2.477531000052431409e+01
4.361809045226130479e+02,2.538590270259008719e+01
4.381909547738693504e+02,2.602832287636988795e+01
4.402010050251255961e+02,2.670225079077589214e+01
4.422110552763818987e+02,2.740723939767190132e+01
4.442211055276382012e+02,2.814293904919398415e+01
4.462311557788944469e+02,2.890872479908126635e+01
4.482412060301507495e+02,2.970410119102150048e+01
4.502512562814070520e+02,3.052849523911166330e+01
4.522613065326632977e+02,3.138129328649032246e+01
4.542713567839196003e+02,3.226178800184189299e+01
4.562814070351759028e+02,3.316912458254512330e+01
4.582914572864321485e+02,3.410247556181072781e+01
4.603015075376884511e+02,3.506103372390038686e+01
4.623115577889446968e+02,3.604380083624006659e+01
4.643216080402009993e+02,3.704977394627888998e+01
4.663316582914573019e+02,3.807785495340937132e+01
4.683417085427135476e+02,3.912689265409668593e+01
4.703517587939698501e+02,4.019569605866459483e+01
4.723618090452260958e+02,4.128296567154484364e+01
4.743718592964823983e+02,4.238741856364825367e+01
4.763819095477387009e+02,4.350766760660438592e+01
4.783919597989950034e+02,4.464228958950860715e+01
4.804020100502512491e+02,4.578978106191865294e+01
4.824120603015074948e+02,4.694866523916348910e+01
4.844221105527637974e+02,4.811731219507735346e+01
4.864321608040200999e+02,4.929412330084360860e+01
4.884422110552764025e+02,5.047745813533840220e+01
4.904522613065326482e+02,5.166565137146270814e+01
4.924623115577889507e+02,5.285699178909520413e+01
4.944723618090451964e+02,5.404974534749768367e+01
4.964824120603014990e+02,5.524214829026745832e+01
4.984924623115578015e+02,5.643243963065201285e+01
5.005025125628140472e+02,5.761891099018003359e+01
5.025125628140703498e+02,5.879971035988123162e+01
5.045226130653265955e+02,5.997311437056172423e+01
5.065326633165828980e+02,6.113737169611534483e+01
5.085427135678392006e+02,6.229071584054148047e+01
5.105527638190955031e+02,6.343144800804596173e+01
5.125628140703518056e+02,6.455783431096006098e+01
5.145728643216079945e+02,6.566821104353064698e+01
5.165829145728642970e+02,6.676092618767482634e+01
5.185929648241205996e+02,6.783433983248939114e+01
5.206030150753769021e+02,6.888689396976151613e+01
5.226130653266332047e+02,6.991706290261467416e+01
5.246231155778893935e+02,7.092339929704716894e+01
5.266331658291456961e+02,7.190446659844545252e+01
5.286432160804019986e+02,7.285887727487680365e+01
5.306532663316583012e+02,7.378531473732574852e+01
5.326633165829146037e+02,7.468254938244686514e+01
5.346733668341707926e+02,7.554939766145973579e+01
